Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1_Lic;Arb1_Nom;Arb1_LR;Arb1_CD;Arb2_Lic;Arb2_Nom;Arb2_LR;Arb2_CD;
PTCA06;02;44AA006;2023-11-15;21:00;0060036;PGVB 2;0068979;CAS 1; 2/3;25-19,15-25,25-16,18-25,12-15;95-100;RENE FRIARD MOUANS SARTOUX;0;;;;0;;;;;
PTCA06;03;44AA007;2023-11-20;20:00;0069048;AS.SP.LOIS.MUNICIPAUX CANNES;0060036;PGVB 2;;;;COTEAUX CANNES;0;;;;0;;;;;
PTCA06;03;44AA008;2023-11-23;20:00;0068979;CAS 1;0068979;CAS 2;;;;SALLE LES VALLERGUES;0;;;;0;;;;;
PTCA06;03;44AA009;2023-11-23;19:45;0060007;AS CANNES VOLLEY-BALL;0060041;PEGOMAS VAL DE SIAGNE VOLLEY-BALL;;;;COTEAUX;0;;;;0;;;;;
PTCA06;04;44AA010;2023-12-07;19:45;0060007;AS CANNES VOLLEY-BALL;0069048;AS.SP.LOIS.MUNICIPAUX CANNES;;;;COTEAUX;0;;;;0;;;;;
PTCA06;04;44AA011;2023-12-07;19:30;0060041;PEGOMAS VAL DE SIAGNE VOLLEY-BALL;0068979;CAS 1;;;;PEGOMAS;0;;;;0;;;;;
PTCA06;04;44AA012;2023-12-07;20:00;0068979;CAS 2;0060036;PGVB 2;;;;SALLE LES VALLERGUES;0;;;;0;;;;;
PTCA06;05;44AA013;2023-12-11;20:00;0069048;AS.SP.LOIS.MUNICIPAUX CANNES;0068979;CAS 2;;;;COTEAUX CANNES;0;;;;0;;;;;
PTCA06;05;44AA014;2023-12-13;21:00;0060036;PGVB 2;0060041;PEGOMAS VAL DE SIAGNE VOLLEY-BALL;;;;RENE FRIARD MOUANS SARTOUX;0;;;;0;;;;;
PTCA06;05;44AA015;2023-12-14;20:00;0068979;CAS 1;0060007;AS CANNES VOLLEY-BALL;;;;SALLE LES COTEAUX;0;;;;0;;;;;
PTCA06;01;44BA001;2023-10-16;20:00;0060036;PGVB 3;;xxxxx;;;;SALLE OMNISPORTS;0;;;;0;;;;;
PTCA06;01;44BA002;2023-10-18;20:00;0060021;AS ROQUEFORTOISE DE VB;0060036;PGVB 1; 3/1;25-20,20-25,27-25,25-20;97-90;CESAR;0;;;;0;;;;;
PTCA06;01;44BA003;2023-10-16;20:15;0060044;BIOT VOLLEY-BALL;0060018;AS NICOISE DE VOLLEY-BALL; 3/0;25-16,25-22,25-23;75-61;GYMNASE EGANAUDE;0;;;;0;;;;;
PTCA06;02;44BA004;2023-11-13;20:15;0060044;BIOT VOLLEY-BALL;;xxxxx;;;;GYMNASE EGANAUDE;0;;;;0;;;;;
PTCA06;02;44BA005;2023-11-15;20:00;0060018;AS NICOISE DE VOLLEY-BALL;0060021;AS ROQUEFORTOISE DE VB; 1/3;25-18,23-25,15-25,22-25;85-93;ROSALINDE RANCHER;0;;;;0;;;;;
PTCA06;02;44BA006;2023-11-15;21:00;0060036;PGVB 1;0060036;PGVB 3; 3/0;25-9,25-19,25-21;75-49;RENE FRIARD MOUANS SARTOUX;0;;;;0;;;;;
PTCA06;03;44BA007;2023-11-20;20:00;;xxxxx;0060036;PGVB 1;;;;;0;;;;0;;;;;
PTCA06;03;44BA008;2023-11-30;20:00;0060036;PGVB 3;0060018;AS NICOISE DE VOLLEY-BALL;;;;SALLE OMNISPORTS GRASSE;0;;;;0;;;;;
PTCA06;03;44BA009;2023-11-22;20:00;0060021;AS ROQUEFORTOISE DE VB;0060044;BIOT VOLLEY-BALL;;;;CESAR;0;;;;0;;;;;
PTCA06;04;44BA010;2023-12-06;20:00;0060021;AS ROQUEFORTOISE DE VB;;xxxxx;;;;CESAR;0;;;;0;;;;;
PTCA06;04;44BA011;2023-12-04;20:15;0060044;BIOT VOLLEY-BALL;0060036;PGVB 3;;;;GYMNASE EGANAUDE;0;;;;0;;;;;
PTCA06;04;44BA012;2023-12-06;20:00;0060018;AS NICOISE DE VOLLEY-BALL;0060036;PGVB 1;;;;ROSALINDE RANCHER;0;;;;0;;;;;
PTCA06;05;44BA013;2023-12-11;20:00;;xxxxx;0060018;AS NICOISE DE VOLLEY-BALL;;;;;0;;;;0;;;;;
PTCA06;05;44BA014;2023-12-13;21:00;0060036;PGVB 1;0060044;BIOT VOLLEY-BALL;;;;RENE FRIARD MOUANS SARTOUX;0;;;;0;;;;;
PTCA06;05;44BA015;2023-12-11;20:00;0060036;PGVB 3;0060021;AS ROQUEFORTOISE DE VB;;;;SALLE OMNISPORTS GRASSE;0;;;;0;;;;;
PTCA06;01;4FAA001;2023-11-09;19:30;0060041;PEGOMAS VAL DE SIAGNE VOLLEY-BALL;0060021;AS ROQUEFORTOISE DE VB; 3/1;25-20,24-26,25-10,25-23;99-79;PEGOMAS;0;;;;0;;;;;
PTCA06;01;4FAA002;2023-10-16;20:00;0060036;PGVB 1;0060036;PGVB 2; 3/0;25-19,25-17,25-19;75-55;SALLE OMNISPORTS;0;;;;0;;;;;
PTCA06;01;4FAA003;2023-11-09;20:30;0068979;CANNES AERO SPORTS VOLLEY-BALL;0063347;PAYS DE FAYENCE VOLLEY-BALL; 3/1;15-25,25-14,25-14,25-18;90-71;LEONARD DE VINCI;0;;;;0;;;;;
PTCA06;02;4FAA004;2023-11-29;20:00;0068979;CANNES AERO SPORTS VOLLEY-BALL;0060021;AS ROQUEFORTOISE DE VB;;;;SALLE CESAR;0;;;;0;;;;;
PTCA06;02;4FAA005;2023-11-16;20:30;0063347;PAYS DE FAYENCE VOLLEY-BALL;0060036;PGVB 1; 3/1;19-25,25-13,25-6,25-21;94-65;LEONARD DE VINCI;0;;;;0;;;;;
PTCA06;02;4FAA006;2023-11-13;20:00;0060036;PGVB 2;0060041;PEGOMAS VAL DE SIAGNE VOLLEY-BALL; 0/3;10-25,10-25,14-25;34-75;SALLE OMNISPORTS;0;;;;0;;;;;
PTCA06;03;4FAA007;2023-11-22;20:00;0060021;AS ROQUEFORTOISE DE VB;0060036;PGVB 2;;;;CESAR;0;;;;0;;;;;
PTCA06;03;4FAA008;2023-11-28;19:30;0060041;PEGOMAS VAL DE SIAGNE VOLLEY-BALL;0063347;PAYS DE FAYENCE VOLLEY-BALL;;;;PEGOMAS;0;;;;0;;;;;
PTCA06;03;4FAA009;2023-11-20;20:00;0060036;PGVB 1;0068979;CANNES AERO SPORTS VOLLEY-BALL; 0/3;11-25,17-25,18-25;46-75;SALLE OMNISPORTS;0;;;;0;;;;;
PTCA06;04;4FAA010;2023-12-04;20:00;0060036;PGVB 1;0060021;AS ROQUEFORTOISE DE VB;;;;SALLE OMNISPORTS;0;;;;0;;;;;
PTCA06;04;4FAA011;2023-12-07;20:00;0068979;CANNES AERO SPORTS VOLLEY-BALL;0060041;PEGOMAS VAL DE SIAGNE VOLLEY-BALL;;;;SALLE A. BELTRAME;0;;;;0;;;;;
PTCA06;04;4FAA012;2023-12-07;20:30;0063347;PAYS DE FAYENCE VOLLEY-BALL;0060036;PGVB 2;;;;LEONARD DE VINCI;0;;;;0;;;;;
PTCA06;05;4FAA013;2023-12-13;20:00;0060021;AS ROQUEFORTOISE DE VB;0063347;PAYS DE FAYENCE VOLLEY-BALL;;;;CESAR;0;;;;0;;;;;
PTCA06;05;4FAA014;2023-12-11;20:00;0060036;PGVB 2;0068979;CANNES AERO SPORTS VOLLEY-BALL;;;;SALLE OMNISPORTS;0;;;;0;;;;;
PTCA06;05;4FAA015;2023-12-14;19:30;0060041;PEGOMAS VAL DE SIAGNE VOLLEY-BALL;0060036;PGVB 1;;;;ARNAUD BELTRAME;0;;;;0;;;;;
PTCA06;01;4FBA001;2023-10-17;20:30;0062701;AS MONACO 3;;xxxxx;;;;LYCEE RAINIER III;0;;;;0;;;;;
PTCA06;01;4FBA002;2023-10-23;19:30;0062701;AS MONACO 1;0060051;DRAP 2; 3/F;25-0,25-0,25-0;75-0;MONEGHETTI;0;;;;0;;;;;
PTCA06;01;4FBA003;2023-10-19;20:00;0064512;ASPTT NICE 1;0064512;ASPTT NICE 2; 3/1;25-11,23-25,25-18,25-19;98-73;MAGNOLIAS;0;;;;0;;;;;
PTCA06;01;4FBA004;2023-10-16;19:30;0062701;AS MONACO 2;0060051;DRAP 1; 3/0;25-22,25-18,25-20;75-60;MONEGHETTI;0;;;;0;;;;;
PTCA06;02;4FBA005;2023-11-09;19:00;0060051;DRAP 1;;xxxxx;;;;;0;;;;0;;;;;
PTCA06;02;4FBA006;2023-11-06;19:30;0062701;AS MONACO 2;0064512;ASPTT NICE 1; 1/3;25-23,23-25,23-25,16-25;87-98;MONEGHETTI;0;;;;0;;;;;
PTCA06;02;4FBA007;2023-11-07;20:00;0064512;ASPTT NICE 2;0062701;AS MONACO 1; 0/3;7-25,16-25,11-25;34-75;MAGNOLIAS;0;;;;0;;;;;
PTCA06;02;4FBA008;2023-11-07;20:30;0060051;DRAP 2;0062701;AS MONACO 3; 0/3;14-25,8-25,11-25;33-75;RAINIER III;0;;;;0;;;;;
